time_mark;time;input;words;length;iteration;execution_time
1560711029.77287;2019.06.16 21:50:29;приветвсем;['привет', 'всем'];1355;1;0.11060667037963867
1560711030.121061;2019.06.16 21:50:30;интересныедела;['интересные', 'дела'];1261;1;0.3481910228729248
1560711030.4256046;2019.06.16 21:50:30;ногтитропарево;['ногти', 'тропарево'];1565;1;0.3040468692779541
1560711031.3189352;2019.06.16 21:50:31;тропарево-никулино;['тропаревоникулино'];3;3;0.8933305740356445
1560711032.0547006;2019.06.16 21:50:32;лялял;['ляля', 'л'];15506;1;0.7357654571533203
1560711032.2377236;2019.06.16 21:50:32;новыйгод;['новый', 'год'];587;1;0.18004703521728516
1560711032.4698524;2019.06.16 21:50:32;нвыйгод;['нвый', 'год'];48;2;0.23163056373596191
1560711032.6117494;2019.06.16 21:50:32;старыйгд;['старый', 'гд'];82;1;0.141402006149292
1560711032.7322872;2019.06.16 21:50:32;старйгод;['стар', 'й', 'год'];529;1;0.12053775787353516
1560711033.0486846;2019.06.16 21:50:33;интересно;['интересно'];127;1;0.31639742851257324
1560711033.2704313;2019.06.16 21:50:33;финансовыйуниверситет;['финансовый', 'университет'];73;1;0.22124981880187988
1560711033.440061;2019.06.16 21:50:33;финашка;['финашка'];1;3;0.16962981224060059
1560711033.6567793;2019.06.16 21:50:33;нагайна;['нагай', 'на'];7392;1;0.21671819686889648
1560711033.8229713;2019.06.16 21:50:33;роулинг;['роулинг'];186;3;0.1647028923034668
1560711034.5684302;2019.06.16 21:50:34;играпрестолв;['игра', 'престол', 'в'];16651;1;0.7454588413238525
1560711035.2097566;2019.06.16 21:50:35;играпрестолв;['игра', 'престол', 'в'];16651;1;0.6373181343078613
1560711035.807471;2019.06.16 21:50:35;играпрестолв;['игра', 'престол', 'в'];16651;1;0.5907680988311768
1560711035.9230063;2019.06.16 21:50:35;приветвсемфу;['привет', 'всем', 'фу'];1410;1;0.1110992431640625
1560711035.9770725;2019.06.16 21:50:35;привет;['привет'];91;1;0.053571224212646484
1560711036.198287;2019.06.16 21:50:36;финансовыйуниверситет;['финансовый', 'университет'];73;1;0.22121453285217285
1560711036.916495;2019.06.16 21:50:36;московскаявеснаакапелла;['московская', 'весна', 'а', 'капелла'];1550;1;0.7182080745697021
1560711037.4397757;2019.06.16 21:50:37;московскиесезоны;['московские', 'сезоны'];516;1;0.5232806205749512
1560711037.4615977;2019.06.16 21:50:37;диплом;['диплом'];23;2;0.021295547485351562
1560711037.6029596;2019.06.16 21:50:37;защитадиплома;['защита', 'диплома'];63;1;0.14136195182800293
1560711037.6044476;2019.06.16 21:50:37;егэ;['егэ'];1;3;0.0014879703521728516
1560711037.6054394;2019.06.16 21:50:37;огэ;['огэ'];1;3;0.0009918212890625
1560711037.745838;2019.06.16 21:50:37;скороегэ;['скоро', 'егэ'];109;1;0.14039850234985352
1560711037.8018873;2019.06.16 21:50:37;экзамен;['экзамен'];26;1;0.056049346923828125
1560711038.703584;2019.06.16 21:50:38;проверочные;['проверочные'];12;3;0.9016966819763184
1560711039.5631535;2019.06.16 21:50:39;проверочные;['проверочные'];12;3;0.8595695495605469
1560711039.606799;2019.06.16 21:50:39;шоппинг;['шоппинг'];311;1;0.043645381927490234
1560711039.720384;2019.06.16 21:50:39;прошивдиплома;['прошив', 'диплома'];50;1;0.11358499526977539
1560711039.7818897;2019.06.16 21:50:39;подружки;['подружки'];794;1;0.061505794525146484
1560711040.3171115;2019.06.16 21:50:40;шоппинг_с_подружками;['шоппинг', 'с', 'подружками'];16265;1;0.5346784591674805
1560711040.4034078;2019.06.16 21:50:40;любовьвокругуже;['любовь', 'вокруг', 'уже'];396;1;0.08282351493835449
1560711040.8110888;2019.06.16 21:50:40;москвалюбмыйгород;['москва', 'люб', 'мый', 'город'];3940;1;0.4076809883117676
1560711040.9142895;2019.06.16 21:50:40;моква;['моква'];0;3;0.10169720649719238
1560711041.0045278;2019.06.16 21:50:41;мокса;['мокса'];4;3;0.09073448181152344
1560711041.3418398;2019.06.16 21:50:41;инетересные;['и', 'не', 'тересные'];2602;1;0.33681583404541016
1560711041.580384;2019.06.16 21:50:41;странноэтовсе;['странно', 'это', 'все'];1498;1;0.23708033561706543
1560711041.683585;2019.06.16 21:50:41;нечеткийпоиск;['нечеткий', 'поиск'];47;1;0.10270357131958008
1560711042.1552496;2019.06.16 21:50:42;нечеткийпоис;['нечеткий', 'по', 'и', 'с'];16832;1;0.4716646671295166
1560711042.2618916;2019.06.16 21:50:42;почемуплохойрезультат;['почему', 'плохой', 'результат'];112;1;0.10118222236633301
1560711042.455329;2019.06.16 21:50:42;погодазашибись;['погода', 'зашибись'];32;1;0.19294261932373047
1560711042.7578912;2019.06.16 21:50:42;крутоодела;['круто', 'о', 'дела'];15400;1;0.30256223678588867
