time_mark;time;input;words;length;iteration;execution_time
1557693707.4127066;12.05.2019 23:41;приветвсем;['привет', 'всем'];1355;1;0.1957094669342041
1557693711.7468;12.05.2019 23:41;интересные дела;['интересные', 'дела'];1261;1;0.2902545928955078
1557693719.4519134;12.05.2019 23:41;ногти тропарево;['ногти', 'тропарево'];1565;1;0.24637389183044434
1557693726.0120482;12.05.2019 23:42;тропарево-никулино;['тропаревоникулино'];3;3;0.7161197662353516
1557693733.529662;12.05.2019 23:42;лялял;['ляля', 'л'];15506;1;0.1655588150024414
1557693738.6026154;12.05.2019 23:42;новыйгод;['новый', 'год'];587;1;0.12267160415649414
1557693740.484793;12.05.2019 23:42;нвыйгод;['нвый', 'год'];48;2;0.05588054656982422
1557693746.0926905;12.05.2019 23:42;старыйгд;['старый', 'гд'];82;1;0.09773826599121094
1557693752.877137;12.05.2019 23:42;старйгод;['стар', 'й', 'год'];529;1;0.09474611282348633
1557693757.075008;12.05.2019 23:42;интересно;['интересно'];127;1;0.2014915943145752
1557693761.358641;12.05.2019 23:42;финансовый университет;['финансовый', 'университет'];73;1;0.16156721115112305
1557693764.9314473;12.05.2019 23:42;финашка;['финашка'];1;3;0.12167239189147949
1557693779.9579659;12.05.2019 23:42;нагайна;['нагай', 'на'];7392;1;0.14165806770324707
1557693788.211956;12.05.2019 23:43;роулинг;['роулинг'];186;3;0.12868547439575195
1557693793.3483503;12.05.2019 23:43;играпрестолв;['игра', 'престол', 'в'];16651;1;0.41892170906066895
1557693803.1734242;12.05.2019 23:43;играпрестолв;['игра', 'престол', 'в'];16651;1;0.5056464672088623
1557693804.6355162;12.05.2019 23:43;играпрестолв;['игра', 'престол', 'в'];16651;1;0.5166163444519043
1557691769.0115583;12.05.2019 23:09;приветвсем;['привет', 'всем'];1355;1;0.1356658935546875
1557691027.9336627;12.05.2019 22:57;приветвсемфу;['привет', 'всем', 'фу'];1410;1;0.24367737770080566
1557691027.0115583;12.05.2019 12:57;привет;['привет'];410;4;0.5
1557691027.9336627;12.05.2019 22:57;приветвсемфу;['привет', 'всем', 'фу'];1410;1;0.24367737770080566
1558673217.7974083;24.05.2019 7:46;финансовыйуниверситет;['финансовый', 'университет'];73;1;0.25147056579589844
1558673223.2898185;24.05.2019 7:47;московскаявеснаакапелла;['московская', 'весна', 'а', 'капелла'];1550;1;0.6983680725097656
1558673229.7776382;24.05.2019 7:47;московскиесезоны;['московские', 'сезоны'];516;1;0.40622377395629883
1558673232.738893;24.05.2019 7:47;диплом;['диплом'];23;2;0.02432537078857422
1558673238.9613702;24.05.2019 7:47;защитадиплома;['защита', 'диплома'];63;1;0.1254880428314209
1558673248.5096278;24.05.2019 7:47;егэ;['егэ'];1;3;0.0010221004486083984
1558673252.1849644;24.05.2019 7:47;огэ;['огэ'];1;3;0.0036728382110595703
1558673255.287336;24.05.2019 7:47;скороегэ;['скоро', 'егэ'];109;1;0.12102317810058594
1558673259.9817312;24.05.2019 7:47;экзамен;['экзамен'];26;1;0.05009746551513672
