time_mark;time;input;words;length;iteration;execution_time
1560710374.4967418;2019.06.16 21:39:34;приветвсем;['привет', 'всем'];1355;1;0.9289770126342773
1560710374.8245964;2019.06.16 21:39:34;интересныедела;['интересные', 'дела'];1261;1;0.32785463333129883
1560710375.1420379;2019.06.16 21:39:35;ногтитропарево;['ногти', 'тропарево'];1565;1;0.31694531440734863
1560710376.0452547;2019.06.16 21:39:36;тропарево-никулино;['тропаревоникулино'];3;3;0.9027209281921387
1560710376.2570455;2019.06.16 21:39:36;лялял;['ляля', 'л'];15506;1;0.21129465103149414
1560710376.3805864;2019.06.16 21:39:36;новыйгод;['новый', 'год'];587;1;0.12304449081420898
1560710376.4415572;2019.06.16 21:39:36;нвыйгод;['нвый', 'год'];48;2;0.05799055099487305
1560710376.5794783;2019.06.16 21:39:36;старыйгд;['старый', 'гд'];82;1;0.13742494583129883
1560710376.6836398;2019.06.16 21:39:36;старйгод;['стар', 'й', 'год'];529;1;0.10416150093078613
1560710376.8978775;2019.06.16 21:39:36;интересно;['интересно'];127;1;0.21423768997192383
1560710377.0759418;2019.06.16 21:39:37;финансовыйуниверситет;['финансовый', 'университет'];73;1;0.17756891250610352
1560710377.2173016;2019.06.16 21:39:37;финашка;['финашка'];1;3;0.14086341857910156
1560710377.385445;2019.06.16 21:39:37;нагайна;['нагай', 'на'];7392;1;0.1686403751373291
1560710377.5327578;2019.06.16 21:39:37;роулинг;['роулинг'];186;3;0.14681577682495117
1560710378.077367;2019.06.16 21:39:38;играпрестолв;['игра', 'престол', 'в'];16651;1;0.5431208610534668
1560710378.5986636;2019.06.16 21:39:38;играпрестолв;['игра', 'престол', 'в'];16651;1;0.5208005905151367
1560710379.2033205;2019.06.16 21:39:39;играпрестолв;['игра', 'престол', 'в'];16651;1;0.6011862754821777
1560710379.311415;2019.06.16 21:39:39;приветвсемфу;['привет', 'всем', 'фу'];1410;1;0.10366320610046387
1560710379.3650157;2019.06.16 21:39:39;привет;['привет'];91;1;0.04963254928588867
1560710379.5574307;2019.06.16 21:39:39;финансовыйуниверситет;['финансовый', 'университет'];73;1;0.19191861152648926
1560710380.1615596;2019.06.16 21:39:40;московскаявеснаакапелла;['московская', 'весна', 'а', 'капелла'];1550;1;0.6041288375854492
1560710380.5509202;2019.06.16 21:39:40;московскиесезоны;['московские', 'сезоны'];516;1;0.3893606662750244
1560710380.572777;2019.06.16 21:39:40;диплом;['диплом'];23;2;0.02136087417602539
1560710380.6729708;2019.06.16 21:39:40;защитадиплома;['защита', 'диплома'];63;1;0.09819889068603516
1560710380.6744566;2019.06.16 21:39:40;егэ;['егэ'];1;3;0.0014858245849609375
1560710380.6749535;2019.06.16 21:39:40;огэ;['огэ'];1;3;0.0004968643188476562
1560710380.7979608;2019.06.16 21:39:40;скороегэ;['скоро', 'егэ'];109;1;0.12300729751586914
1560710380.85249;2019.06.16 21:39:40;экзамен;['экзамен'];26;1;0.0540318489074707
1560710381.6545217;2019.06.16 21:39:41;проверочные;['проверочные'];12;3;0.8020317554473877
1560710382.5096247;2019.06.16 21:39:42;проверочные;['проверочные'];12;3;0.8551030158996582
1560710382.5493376;2019.06.16 21:39:42;шоппинг;['шоппинг'];311;1;0.03921699523925781
1560710382.6520097;2019.06.16 21:39:42;прошивдиплома;['прошив', 'диплома'];50;1;0.10267210006713867
1560710382.7050815;2019.06.16 21:39:42;подружки;['подружки'];794;1;0.05257558822631836
1560710383.2184095;2019.06.16 21:39:43;шоппинг_с_подружками;['шоппинг', 'с', 'подружками'];16265;1;0.5128276348114014
1560710383.3195934;2019.06.16 21:39:43;любовьвокругуже;['любовь', 'вокруг', 'уже'];396;1;0.10019111633300781
1560710383.7323;2019.06.16 21:39:43;москвалюбмыйгород;['москва', 'люб', 'мый', 'город'];3940;1;0.40824317932128906
1560710383.8319612;2019.06.16 21:39:43;моква;['моква'];0;3;0.09918570518493652
1560710383.9009068;2019.06.16 21:39:43;мокса;['мокса'];4;3;0.06745648384094238
1560710384.2312746;2019.06.16 21:39:44;инетересные;['и', 'не', 'тересные'];2602;1;0.3303678035736084
1560710384.4951153;2019.06.16 21:39:44;странноэтовсе;['странно', 'это', 'все'];1498;1;0.26334476470947266
1560710384.642922;2019.06.16 21:39:44;нечеткийпоиск;['нечеткий', 'поиск'];47;1;0.14681649208068848
1560710385.1022599;2019.06.16 21:39:45;нечеткийпоис;['нечеткий', 'по', 'и', 'с'];16832;1;0.45884180068969727
1560710385.1910026;2019.06.16 21:39:45;почемуплохойрезультат;['почему', 'плохой', 'результат'];112;1;0.08874940872192383
1560710385.409244;2019.06.16 21:39:45;погодазашибись;['погода', 'зашибись'];32;1;0.2137444019317627
1560710385.7028766;2019.06.16 21:39:45;крутоодела;['круто', 'о', 'дела'];15400;1;0.29363250732421875
1560710385.7520156;2019.06.16 21:39:45;почемудолго;['почему', 'долго'];178;1;0.04864335060119629
1560710385.794636;2019.06.16 21:39:45;тату;['тату'];481;1;0.03914499282836914
1560710386.1185226;2019.06.16 21:39:46;тропаревоноготочки;['тропарево', 'ноготочки'];39;1;0.3238866329193115
1560710386.3982687;2019.06.16 21:39:46;#инстаграм_порусски;['инстаграм', 'порусски'];28;1;0.2802414894104004
1560710386.4076922;2019.06.16 21:39:46;#я;['я'];682;1;0.008928060531616211
1560710386.4300127;2019.06.16 21:39:46;#любовь;['любовь'];87;1;0.02232050895690918
1560710386.7891483;2019.06.16 21:39:46;#инстаграм;['инстаграм'];64;2;0.35913562774658203
1560710387.0991483;2019.06.16 21:39:47;#россия;['россия'];5665;1;0.309999942779541
1560710387.4041567;2019.06.16 21:39:47;#москва;['москва'];1153;2;0.3050084114074707
1560710387.6933608;2019.06.16 21:39:47;#инстатаг;['инстатаг'];44;2;0.2877156734466553
1560710387.8679528;2019.06.16 21:39:47;#фотография;['фото', 'графия'];1096;1;0.1745600700378418
1560710388.2438853;2019.06.16 21:39:48;#инста;['инста'];72;3;0.37596845626831055
1560710388.2795956;2019.06.16 21:39:48;#день;['день'];124;1;0.03521418571472168
1560710388.3163004;2019.06.16 21:39:48;#лайки;['лайк', 'и'];1470;1;0.03670477867126465
1560710388.5985258;2019.06.16 21:39:48;#инстаграманет;['инстаграма', 'нет'];81;1;0.2822253704071045
1560710388.735422;2019.06.16 21:39:48;#природа;['природа'];980;1;0.13640093803405762
1560710388.7721238;2019.06.16 21:39:48;#любовьмоя;['любовь', 'моя'];614;1;0.03670191764831543
1560710388.8227162;2019.06.16 21:39:48;#девушки;['девушки'];721;1;0.05059242248535156
1560710388.872812;2019.06.16 21:39:48;#улыбка;['улыбка'];2884;1;0.05009579658508301
1560710389.4084938;2019.06.16 21:39:49;#жизньпрекрасна;['жизнь', 'прекрасна'];298;1;0.5356817245483398
1560710389.4233742;2019.06.16 21:39:49;#друзья;['друзья'];31;2;0.013887405395507812
1560710389.435773;2019.06.16 21:39:49;#селфи;['селфи'];26;2;0.01190185546875
1560710389.5448937;2019.06.16 21:39:49;#ночь;['ночь'];1053;1;0.10961651802062988
1560710390.184734;2019.06.16 21:39:50;#украина;['украина'];5665;1;0.6398398876190186
1560710390.2085412;2019.06.16 21:39:50;#небо;['небо'];18;2;0.022815465927124023
1560710390.3107193;2019.06.16 21:39:50;#фото;['фото'];1070;1;0.09969758987426758
1560710390.6008782;2019.06.16 21:39:50;#инстаграмнедели;['инстаграм', 'недели'];250;1;0.2901589870452881
1560710390.6117907;2019.06.16 21:39:50;#жизнь;['жизнь'];248;1;0.010415792465209961
1560710390.6415505;2019.06.16 21:39:50;#супер;['супер'];199;1;0.029759883880615234
1560710390.6574225;2019.06.16 21:39:50;#дружба;['дружба'];40;3;0.01587200164794922
1560710390.848383;2019.06.16 21:39:50;#красота;['красота'];1504;1;0.19096040725708008
1560710390.8667347;2019.06.16 21:39:50;#видео;['видео'];114;1;0.01835179328918457
1560710391.0398388;2019.06.16 21:39:51;#облака;['облака'];17;2;0.1726078987121582
1560710391.054719;2019.06.16 21:39:51;#успех;['успех'];614;1;0.014384746551513672
1560710391.0641437;2019.06.16 21:39:51;#клуб;['клуб'];100;1;0.009424686431884766
1560710391.0731041;2019.06.16 21:39:51;#друг;['друг'];31;2;0.008960485458374023
1560710391.3498385;2019.06.16 21:39:51;#инстамамс;['инстамамс'];31;1;0.2767343521118164
1560710391.6419852;2019.06.16 21:39:51;#инстамама;['инстамама'];32;1;0.2921466827392578
