time_mark;time;input;words;length;iteration;execution_time
1560708218.4030495;2019.06.16 21:03:38;приветвсем;['привет', 'всем'];0;3;0.005425214767456055
1560708218.4065206;2019.06.16 21:03:38;интересныедела;['интересные', 'дела'];0;3;0.002479076385498047
1560708218.4080088;2019.06.16 21:03:38;ногтитропарево;['ногти', 'тропарево'];0;3;0.0009913444519042969
1560708218.4099925;2019.06.16 21:03:38;тропарево-никулино;['тропаревоникулино'];0;3;0.00148773193359375
1560708218.413961;2019.06.16 21:03:38;лялял;['ляля', 'л'];0;3;0.003471851348876953
1560708218.4159448;2019.06.16 21:03:38;новыйгод;['новый', 'год'];0;3;0.0014874935150146484
1560708218.4194183;2019.06.16 21:03:38;нвыйгод;['нвый', 'год'];0;3;0.002976655960083008
1560708218.4214005;2019.06.16 21:03:38;старыйгд;['старый', 'гд'];0;3;0.0014872550964355469
1560708218.423385;2019.06.16 21:03:38;старйгод;['стар', 'й', 'год'];0;3;0.0019843578338623047
1560708218.4248726;2019.06.16 21:03:38;интересно;['интересно'];0;3;0.0009913444519042969
1560708218.4278488;2019.06.16 21:03:38;финансовыйуниверситет;['финансовый', 'университет'];0;3;0.0024802684783935547
1560708218.4293365;2019.06.16 21:03:38;финашка;['финашка'];0;3;0.0009913444519042969
1560708218.4333045;2019.06.16 21:03:38;нагайна;['нагай', 'на'];0;3;0.003968000411987305
1560708218.4352894;2019.06.16 21:03:38;роулинг;['роулинг'];0;3;0.001984834671020508
1560708218.4402485;2019.06.16 21:03:38;играпрестолв;['игра', 'престол', 'в'];0;3;0.005455493927001953
1560708218.4452085;2019.06.16 21:03:38;играпрестолв;['игра', 'престол', 'в'];0;3;0.004463672637939453
1560708218.451163;2019.06.16 21:03:38;играпрестолв;['игра', 'престол', 'в'];0;3;0.004961967468261719
1560708218.4576097;2019.06.16 21:03:38;приветвсемфу;['привет', 'всем', 'фу'];0;3;0.004458189010620117
1560708218.4590976;2019.06.16 21:03:38;привет;['привет'];0;3;0.00148773193359375
1560708218.4635618;2019.06.16 21:03:38;финансовыйуниверситет;['финансовый', 'университет'];0;3;0.003968000411987305
1560708218.4690204;2019.06.16 21:03:38;московскаявеснаакапелла;['московская', 'весна', 'а', 'капелла'];0;3;0.004961729049682617
1560708218.4719937;2019.06.16 21:03:38;московскиесезоны;['московские', 'сезоны'];0;3;0.0024797916412353516
